[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 532295799, 'fix_type': 3, 'lat': 462880609, 'lon': 213603016, 'alt': 111780, 'eph': 128, 'epv': 153, 'vel': 9, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1280, 'v_acc': 1530, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 532824245, 'fix_type': 3, 'lat': 462880595, 'lon': 213603000, 'alt': 111900, 'eph': 130, 'epv': 155, 'vel': 56, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1300, 'v_acc': 1550, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 533352204, 'fix_type': 3, 'lat': 462880610, 'lon': 213603003, 'alt': 112120, 'eph': 132, 'epv': 158, 'vel': 49, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1320, 'v_acc': 1580, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 533881987, 'fix_type': 3, 'lat': 462880617, 'lon': 213603003, 'alt': 112260, 'eph': 134, 'epv': 160, 'vel': 7, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1340, 'v_acc': 1600, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 534410746, 'fix_type': 3, 'lat': 462880601, 'lon': 213602992, 'alt': 112420, 'eph': 137, 'epv': 164, 'vel': 38, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1370, 'v_acc': 1640, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 534938837, 'fix_type': 3, 'lat': 462880605, 'lon': 213602996, 'alt': 112230, 'eph': 136, 'epv': 164, 'vel': 2, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1360, 'v_acc': 1640, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 535466246, 'fix_type': 3, 'lat': 462880609, 'lon': 213602996, 'alt': 112210, 'eph': 136, 'epv': 165, 'vel': 20, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1360, 'v_acc': 1650, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 535994386, 'fix_type': 3, 'lat': 462880620, 'lon': 213602987, 'alt': 112150, 'eph': 138, 'epv': 167, 'vel': 34, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1380, 'v_acc': 1670, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 536523506, 'fix_type': 3, 'lat': 462880636, 'lon': 213602969, 'alt': 112170, 'eph': 140, 'epv': 170, 'vel': 33, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1400, 'v_acc': 1700, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 537054139, 'fix_type': 3, 'lat': 462880647, 'lon': 213602951, 'alt': 112060, 'eph': 143, 'epv': 173, 'vel': 66, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1430, 'v_acc': 1730, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
